boundCodelist,declaring_class,effective_class,attr
C127259,ObservationalStudyDesign,ObservationalStudyDesign,model
C127260,ObservationalStudyDesign,ObservationalStudyDesign,samplingMethod
C127261,ObservationalStudyDesign,ObservationalStudyDesign,timePerspective
C127262,Encounter,Encounter,environmentalSettings
C171445,Encounter,Encounter,contactModes
C174222,StudyArm,StudyArm,type
C188723,StudyDefinitionDocumentVersion,StudyDefinitionDocumentVersion,status
C188724,Organization,Organization,type
C188725,Objective,Objective,level
C188726,Endpoint,Endpoint,level
C188727,StudyArm,StudyArm,dataOriginType
C188728,Encounter,Encounter,type
C201264,Timing,Timing,type
C201265,Timing,Timing,relativeToFrom
C207412,GeographicScope,GeographicScope,type
C207413,GovernanceDate,GovernanceDate,type
C207415,StudyAmendmentReason,StudyAmendmentReason,code
C207416,StudyDesign,InterventionalStudyDesign,characteristics
C207416,StudyDesign,ObservationalStudyDesign,characteristics
C207416,StudyDesign,StudyDesign,characteristics
C207417,StudyIntervention,StudyIntervention,role
C207418,AdministrableProduct,AdministrableProduct,productDesignation
C207419,StudyTitle,StudyTitle,type
C215477,StudyDefinitionDocument,StudyDefinitionDocument,type
C215478,ReferenceIdentifier,ReferenceIdentifier,type
C215479,AdministrableProductProperty,AdministrableProductProperty,type
C215480,StudyRole,StudyRole,code
C215481,StudyAmendmentImpact,StudyAmendmentImpact,type
C215482,MedicalDevice,MedicalDevice,sourcing
C215483,AdministrableProduct,AdministrableProduct,sourcing
C215484,MedicalDeviceIdentifier,MedicalDeviceIdentifier,type
C215485,ProductOrganizationRole,ProductOrganizationRole,code
C215486,ObservationalStudyDesign,ObservationalStudyDesign,subTypes
C66726,AdministrableProduct,AdministrableProduct,administrableDoseForm
C66729,Administration,Administration,route
C66732,PopulationDefinition,PopulationDefinition,plannedSex
C66732,PopulationDefinition,StudyCohort,plannedSex
C66732,PopulationDefinition,StudyDesignPopulation,plannedSex
C66735,InterventionalStudyDesign,InterventionalStudyDesign,blindingSchema
C66736,InterventionalStudyDesign,InterventionalStudyDesign,intentTypes
C66737,StudyDesign,InterventionalStudyDesign,studyPhase
C66737,StudyDesign,ObservationalStudyDesign,studyPhase
C66737,StudyDesign,StudyDesign,studyPhase
C66739,InterventionalStudyDesign,InterventionalStudyDesign,subTypes
C66797,EligibilityCriterion,EligibilityCriterion,category
C71113,Administration,Administration,frequency
C71620,Quantity,Quantity,unit
C99076,InterventionalStudyDesign,InterventionalStudyDesign,model
C99077,StudyDesign,InterventionalStudyDesign,studyType
C99077,StudyDesign,ObservationalStudyDesign,studyType
C99077,StudyDesign,StudyDesign,studyType
C99078,StudyIntervention,StudyIntervention,type
C99079,StudyEpoch,StudyEpoch,type
